Timestamp,LBNL Weather Station Wet-Bulb Temperature (),"LBNL Weather Station Dry-Bulb Temperature Sensor (Main, Two-Meter) ()"
2018-09-06T00:00:00-07:00 Los_Angeles,52.08205986,53.07500076
2018-09-06T01:00:00-07:00 Los_Angeles,52.49054718,53.49750137
2018-09-06T02:00:00-07:00 Los_Angeles,52.16456127,53.12499905
2018-09-06T03:00:00-07:00 Los_Angeles,51.7867775,52.67500114
2018-09-06T04:00:00-07:00 Los_Angeles,51.37556362,52.19999981
2018-09-06T05:00:00-07:00 Los_Angeles,51.14359856,51.92749882
2018-09-06T06:00:00-07:00 Los_Angeles,51.32855415,52.09749985
2018-09-06T07:00:00-07:00 Los_Angeles,51.52461243,52.28000069
2018-09-06T08:00:00-07:00 Los_Angeles,52.07325077,52.83000088
2018-09-06T09:00:00-07:00 Los_Angeles,52.75740433,53.53249931
2018-09-06T10:00:00-07:00 Los_Angeles,53.68048668,54.52000046
2018-09-06T11:00:00-07:00 Los_Angeles,54.3558569,56.37249947
2018-09-06T12:00:00-07:00 Los_Angeles,54.11411667,56.55000019
2018-09-06T13:00:00-07:00 Los_Angeles,55.67704773,60.03999996
2018-09-06T14:00:00-07:00 Los_Angeles,56.88445282,62.48500061
2018-09-06T15:00:00-07:00 Los_Angeles,58.12774181,65.16999912
2018-09-06T16:00:00-07:00 Los_Angeles,57.31048107,63.52750015
2018-09-06T17:00:00-07:00 Los_Angeles,56.86816788,62.47749996
2018-09-06T18:00:00-07:00 Los_Angeles,56.60851955,61.6875
2018-09-06T19:00:00-07:00 Los_Angeles,55.15721703,58.62249947
2018-09-06T20:00:00-07:00 Los_Angeles,54.22760677,56.77250004
2018-09-06T21:00:00-07:00 Los_Angeles,53.23427582,55.45000076
2018-09-06T22:00:00-07:00 Los_Angeles,52.76420212,54.85750103
2018-09-06T23:00:00-07:00 Los_Angeles,52.34745026,54.16999912
2018-09-07T00:00:00-07:00 Los_Angeles,52.92190361,56.05000019
2018-09-07T01:00:00-07:00 Los_Angeles,52.53918552,57.49249935
2018-09-07T02:00:00-07:00 Los_Angeles,52.1344595,58.37250042
2018-09-07T03:00:00-07:00 Los_Angeles,51.96908951,57.39999962
2018-09-07T04:00:00-07:00 Los_Angeles,51.16860294,53.63999939
2018-09-07T05:00:00-07:00 Los_Angeles,50.84055614,53.05000114
2018-09-07T06:00:00-07:00 Los_Angeles,50.45640469,52.10749912
2018-09-07T07:00:00-07:00 Los_Angeles,51.07193851,52.78249931
2018-09-07T08:00:00-07:00 Los_Angeles,52.09700108,53.01500034
2018-09-07T09:00:00-07:00 Los_Angeles,53.73633862,54.62750053
2018-09-07T10:00:00-07:00 Los_Angeles,55.63826561,58.45499992
2018-09-07T11:00:00-07:00 Los_Angeles,57.63183117,63.36499977
2018-09-07T12:00:00-07:00 Los_Angeles,58.59405422,65.88249969
2018-09-07T13:00:00-07:00 Los_Angeles,59.7784586,68.63999748
2018-09-07T14:00:00-07:00 Los_Angeles,60.1414566,70.03000069
2018-09-07T15:00:00-07:00 Los_Angeles,58.76652908,66.97999954
2018-09-07T16:00:00-07:00 Los_Angeles,57.03479767,63.57499981
2018-09-07T17:00:00-07:00 Los_Angeles,57.17843056,65.02250004
2018-09-07T18:00:00-07:00 Los_Angeles,56.40284061,63.11750031
2018-09-07T19:00:00-07:00 Los_Angeles,56.39432621,63.38000011
2018-09-07T20:00:00-07:00 Los_Angeles,55.71105671,61.58750057
2018-09-07T21:00:00-07:00 Los_Angeles,55.15537453,61.00249958
2018-09-07T22:00:00-07:00 Los_Angeles,54.22224045,61.64000034
2018-09-07T23:00:00-07:00 Los_Angeles,53.98691082,59.59249973
2018-09-08T00:00:00-07:00 Los_Angeles,53.29218006,60.15250015
2018-09-08T01:00:00-07:00 Los_Angeles,52.52623653,59.28000069
2018-09-08T02:00:00-07:00 Los_Angeles,52.43107986,57.45249939
2018-09-08T03:00:00-07:00 Los_Angeles,52.28306389,57.13749886
2018-09-08T04:00:00-07:00 Los_Angeles,51.76066685,57.12749958
2018-09-08T05:00:00-07:00 Los_Angeles,52.63970566,56.81750011
2018-09-08T06:00:00-07:00 Los_Angeles,52.1080761,56.52750015
2018-09-08T07:00:00-07:00 Los_Angeles,52.38007355,55.12749958
2018-09-08T08:00:00-07:00 Los_Angeles,53.27531719,55.40499973
2018-09-08T09:00:00-07:00 Los_Angeles,55.42373943,58.54999924
2018-09-08T10:00:00-07:00 Los_Angeles,57.6253624,62.90749931
2018-09-08T11:00:00-07:00 Los_Angeles,58.35150814,65.89749908
2018-09-08T12:00:00-07:00 Los_Angeles,59.04739761,68.30999947
2018-09-08T13:00:00-07:00 Los_Angeles,60.18731117,70.22750092
2018-09-08T14:00:00-07:00 Los_Angeles,60.89442348,72.46250153
2018-09-08T15:00:00-07:00 Los_Angeles,60.91621208,74.56999969
2018-09-08T16:00:00-07:00 Los_Angeles,60.45969868,75.17000008
2018-09-08T17:00:00-07:00 Los_Angeles,60.52086353,74.13000107
2018-09-08T18:00:00-07:00 Los_Angeles,59.56181431,70.63999939
2018-09-08T19:00:00-07:00 Los_Angeles,58.59550667,67.18250084
2018-09-08T20:00:00-07:00 Los_Angeles,56.94948292,63.36249924
2018-09-08T21:00:00-07:00 Los_Angeles,55.51235008,60.46999931
2018-09-08T22:00:00-07:00 Los_Angeles,54.7875042,60.12250137
2018-09-08T23:00:00-07:00 Los_Angeles,53.69359779,60.5425005
2018-09-09T00:00:00-07:00 Los_Angeles,53.25205994,59.05000019
2018-09-09T01:00:00-07:00 Los_Angeles,52.9183836,57.33750057
2018-09-09T02:00:00-07:00 Los_Angeles,52.65329647,57.77249908
2018-09-09T03:00:00-07:00 Los_Angeles,53.0008316,57.51000023
2018-09-09T04:00:00-07:00 Los_Angeles,52.25225544,57
2018-09-09T05:00:00-07:00 Los_Angeles,52.0083065,55.70250034
2018-09-09T06:00:00-07:00 Los_Angeles,51.53983498,53.83500004
2018-09-09T07:00:00-07:00 Los_Angeles,51.56640816,53.21250057
2018-09-09T08:00:00-07:00 Los_Angeles,52.44244003,54.32750034
2018-09-09T09:00:00-07:00 Los_Angeles,54.11803913,57.29500008
2018-09-09T10:00:00-07:00 Los_Angeles,56.66650391,61.75999928
2018-09-09T11:00:00-07:00 Los_Angeles,58.15375805,64.98500061
2018-09-09T12:00:00-07:00 Los_Angeles,58.91889572,67.14499855
2018-09-09T13:00:00-07:00 Los_Angeles,59.61100101,69.57999992
2018-09-09T14:00:00-07:00 Los_Angeles,59.55051613,71.54750061
2018-09-09T15:00:00-07:00 Los_Angeles,59.4823246,71.32749939
2018-09-09T16:00:00-07:00 Los_Angeles,58.60730267,72.47749901
2018-09-09T17:00:00-07:00 Los_Angeles,58.39326382,75.32500076
2018-09-09T18:00:00-07:00 Los_Angeles,59.34292316,73.59749985
2018-09-09T19:00:00-07:00 Los_Angeles,57.60185337,67.55500031
2018-09-09T20:00:00-07:00 Los_Angeles,56.34094715,64.51249886
2018-09-09T21:00:00-07:00 Los_Angeles,54.58382702,62.27000046
2018-09-09T22:00:00-07:00 Los_Angeles,52.79851246,62.53750038
2018-09-09T23:00:00-07:00 Los_Angeles,52.87825871,59.70499992
2018-09-10T00:00:00-07:00 Los_Angeles,52.99389553,58.24000072
2018-09-10T01:00:00-07:00 Los_Angeles,52.85848236,57.17250061
2018-09-10T02:00:00-07:00 Los_Angeles,53.10387611,56.44749928
2018-09-10T03:00:00-07:00 Los_Angeles,52.0135479,54.28999996
2018-09-10T04:00:00-07:00 Los_Angeles,52.10218143,53.80249977
2018-09-10T05:00:00-07:00 Los_Angeles,51.6593914,53.45000076
2018-09-10T06:00:00-07:00 Los_Angeles,51.57463932,54.34249973
2018-09-10T07:00:00-07:00 Los_Angeles,52.00505352,55.17499924
2018-09-10T08:00:00-07:00 Los_Angeles,52.90095234,56.51499939
2018-09-10T09:00:00-07:00 Los_Angeles,54.39264297,58.4725008
2018-09-10T10:00:00-07:00 Los_Angeles,56.32205391,63.37499905
2018-09-10T11:00:00-07:00 Los_Angeles,57.78208923,68.51749802
2018-09-10T12:00:00-07:00 Los_Angeles,59.30027771,70.08750153
2018-09-10T13:00:00-07:00 Los_Angeles,59.61566353,71.27000046
2018-09-10T14:00:00-07:00 Los_Angeles,59.89713669,73.27499962
2018-09-10T15:00:00-07:00 Los_Angeles,60.57217407,74.52000046
2018-09-10T16:00:00-07:00 Los_Angeles,61.00715542,76.25749969
2018-09-10T17:00:00-07:00 Los_Angeles,60.69355011,76.11750031
2018-09-10T18:00:00-07:00 Los_Angeles,60.29252434,72.36999893
2018-09-10T19:00:00-07:00 Los_Angeles,58.96791935,68.57749939
2018-09-10T20:00:00-07:00 Los_Angeles,57.49454975,65.97999954
2018-09-10T21:00:00-07:00 Los_Angeles,56.27082443,65.32249832
2018-09-10T22:00:00-07:00 Los_Angeles,54.94145393,64.07750034
2018-09-10T23:00:00-07:00 Los_Angeles,54.30758572,62.52250004
2018-09-11T00:00:00-07:00 Los_Angeles,53.58938026,59.67500019
2018-09-11T01:00:00-07:00 Los_Angeles,53.22889519,58.59999943
2018-09-11T02:00:00-07:00 Los_Angeles,53.34299564,58.31750011
2018-09-11T03:00:00-07:00 Los_Angeles,53.01310539,57.67000008
2018-09-11T04:00:00-07:00 Los_Angeles,52.66164207,58.17749977
2018-09-11T05:00:00-07:00 Los_Angeles,51.73187065,58.02250004
2018-09-11T06:00:00-07:00 Los_Angeles,51.76997852,57.31250095
2018-09-11T07:00:00-07:00 Los_Angeles,51.16334438,57.62000084
2018-09-11T08:00:00-07:00 Los_Angeles,52.78947163,57.67499924
2018-09-11T09:00:00-07:00 Los_Angeles,53.20829296,59.78499985
2018-09-11T10:00:00-07:00 Los_Angeles,54.80032539,62.39750004
2018-09-11T11:00:00-07:00 Los_Angeles,56.31913567,66.7650013
2018-09-11T12:00:00-07:00 Los_Angeles,56.82835102,69.44750214
2018-09-11T13:00:00-07:00 Los_Angeles,57.5871048,70.11000061
2018-09-11T14:00:00-07:00 Los_Angeles,57.65057278,73.73749924
2018-09-11T15:00:00-07:00 Los_Angeles,57.32217407,74.44499969
2018-09-11T16:00:00-07:00 Los_Angeles,57.73961544,74.47749901
2018-09-11T17:00:00-07:00 Los_Angeles,57.97017002,72.74250031
2018-09-11T18:00:00-07:00 Los_Angeles,57.36662483,69.44000053
2018-09-11T19:00:00-07:00 Los_Angeles,55.46313,64.94000053
2018-09-11T20:00:00-07:00 Los_Angeles,53.93095589,63.18999958
2018-09-11T21:00:00-07:00 Los_Angeles,53.26724052,61.46249962
2018-09-11T22:00:00-07:00 Los_Angeles,52.40943813,61.15250015
2018-09-11T23:00:00-07:00 Los_Angeles,52.04512119,61.41499996
2018-09-12T00:00:00-07:00 Los_Angeles,51.71028042,59.31499958
2018-09-12T01:00:00-07:00 Los_Angeles,51.25482178,57.9024992
2018-09-12T02:00:00-07:00 Los_Angeles,50.90569592,57.70499897
2018-09-12T03:00:00-07:00 Los_Angeles,50.73763847,57.49250031
2018-09-12T04:00:00-07:00 Los_Angeles,50.41113186,56.8125
2018-09-12T05:00:00-07:00 Los_Angeles,50.39133835,55.98749924
2018-09-12T06:00:00-07:00 Los_Angeles,50.34486771,55.36500072
2018-09-12T07:00:00-07:00 Los_Angeles,50.26272774,55.52500057
2018-09-12T08:00:00-07:00 Los_Angeles,50.9310894,56.49250031
2018-09-12T09:00:00-07:00 Los_Angeles,51.96270657,57.53000069
2018-09-12T10:00:00-07:00 Los_Angeles,52.97779751,60.53249931
2018-09-12T11:00:00-07:00 Los_Angeles,53.73591709,63.83499718
2018-09-12T12:00:00-07:00 Los_Angeles,55.03347397,65.74500275
2018-09-12T13:00:00-07:00 Los_Angeles,55.92788219,66.76249886
2018-09-12T14:00:00-07:00 Los_Angeles,56.19980526,64.40250015
2018-09-12T15:00:00-07:00 Los_Angeles,55.79175282,63.96499825
2018-09-12T16:00:00-07:00 Los_Angeles,55.71416092,63.27999973
2018-09-12T17:00:00-07:00 Los_Angeles,54.73993206,60.51749992
2018-09-12T18:00:00-07:00 Los_Angeles,53.99370861,60.61999893
2018-09-12T19:00:00-07:00 Los_Angeles,53.70620632,58.95499992
2018-09-12T20:00:00-07:00 Los_Angeles,53.37443638,57.13750076
2018-09-12T21:00:00-07:00 Los_Angeles,53.09206486,56.88000011
2018-09-12T22:00:00-07:00 Los_Angeles,53.13785267,56.73750019
2018-09-12T23:00:00-07:00 Los_Angeles,52.40500832,56.23999882
2018-09-13T00:00:00-07:00 Los_Angeles,52.34425259,56.29499912
2018-09-13T01:00:00-07:00 Los_Angeles,52.96916771,56.2774992
2018-09-13T02:00:00-07:00 Los_Angeles,52.79420376,55.52499962
2018-09-13T03:00:00-07:00 Los_Angeles,52.51646137,54.90000057
2018-09-13T04:00:00-07:00 Los_Angeles,52.44619274,54.48750019
2018-09-13T05:00:00-07:00 Los_Angeles,52.38274193,54.41499996
2018-09-13T06:00:00-07:00 Los_Angeles,52.09454536,54.55000019
2018-09-13T07:00:00-07:00 Los_Angeles,51.64937401,54.42749977
2018-09-13T08:00:00-07:00 Los_Angeles,51.51791477,54.4574995
2018-09-13T09:00:00-07:00 Los_Angeles,52.26581001,56.54249954
2018-09-13T10:00:00-07:00 Los_Angeles,53.00886917,59.40999985
2018-09-13T11:00:00-07:00 Los_Angeles,54.01645279,62.46250057
2018-09-13T12:00:00-07:00 Los_Angeles,54.68153286,64.47249985
2018-09-13T13:00:00-07:00 Los_Angeles,55.46130466,66.1875
2018-09-13T14:00:00-07:00 Los_Angeles,56.35800457,66.87249947
2018-09-13T15:00:00-07:00 Los_Angeles,56.33086491,66.24250031
2018-09-13T16:00:00-07:00 Los_Angeles,56.63509369,65.16749954
