Time (YY:MM:DD hh:mm:ss.s),Flow (US GPM),Energy NET (Ton),RTD1 Temperature (F),RTD2 Temperature (F)
9/6/2018 15:24:51.4,75.27,-7.9,73.94,81.28
9/6/2018 15:34:51.4,75.90,-11.9,73.53,81.59
9/6/2018 15:44:51.4,74.71,-15.9,73.49,81.01
9/6/2018 15:54:51.4,75.31,-19.8,73.94,80.96
9/6/2018 16:04:51.4,74.83,-23.4,73.87,80.78
9/6/2018 16:14:51.4,74.67,-27.1,73.71,81.18
9/6/2018 16:24:51.4,75.15,-31.0,73.89,81.23
9/6/2018 16:34:51.4,75.23,-34.8,74.03,81.25
9/6/2018 16:44:51.4,75.54,-38.6,73.90,81.66
9/6/2018 16:54:51.4,75.03,-42.7,73.74,81.50
9/6/2018 17:04:51.4,75.62,-46.7,73.67,81.34
9/6/2018 17:14:51.4,78.44,-50.6,74.30,81.21
9/6/2018 17:24:51.4,77.45,-54.7,74.32,82.02
9/6/2018 17:34:51.4,77.13,-58.8,73.89,81.88
9/6/2018 17:44:51.4,77.29,-63.1,73.96,81.95
9/6/2018 17:54:51.4,77.17,-67.2,74.30,81.64
9/6/2018 18:04:51.4,77.33,-71.1,74.19,81.57
9/6/2018 18:14:51.4,77.69,-75.2,73.81,81.63
9/6/2018 18:24:51.4,74.35,-79.3,73.69,80.89
9/6/2018 18:34:51.4,74.99,-82.8,73.81,80.55
9/6/2018 18:44:51.4,74.87,-86.4,73.49,80.46
9/6/2018 18:54:51.4,75.54,-90.1,73.22,80.44
9/6/2018 19:04:51.4,74.71,-93.8,73.29,80.04
9/6/2018 19:14:51.4,77.05,-97.3,73.81,80.60
9/6/2018 19:24:51.4,76.65,-100.9,73.87,80.62
9/6/2018 19:34:51.4,75.78,-104.7,73.53,81.00
9/6/2018 19:44:51.4,75.90,-108.5,73.47,80.62
9/6/2018 19:54:51.4,75.34,-112.1,73.74,80.33
9/6/2018 20:04:51.4,76.30,-115.6,73.69,80.38
9/6/2018 20:14:51.4,73.76,-119.2,73.22,80.38
9/6/2018 20:24:51.4,74.43,-122.8,73.00,79.75
9/6/2018 20:34:51.4,73.88,-126.0,73.40,79.39
9/6/2018 20:44:51.4,74.23,-129.0,73.31,79.32
9/6/2018 20:54:51.4,74.08,-132.2,72.99,79.25
9/6/2018 21:04:51.4,73.92,-135.4,73.40,79.16
9/6/2018 21:14:51.4,74.79,-138.1,73.63,78.96
9/6/2018 21:24:51.4,73.88,-141.0,73.56,79.38
9/6/2018 21:34:51.4,74.11,-144.1,73.31,79.39
9/6/2018 21:44:51.4,74.19,-147.2,73.49,79.18
9/6/2018 21:54:51.4,74.71,-150.0,73.71,79.16
9/6/2018 22:04:51.4,73.96,-152.9,73.26,79.27
9/6/2018 22:14:51.4,74.11,-156.1,73.36,79.41
9/6/2018 22:24:51.4,75.03,-159.0,73.56,79.03
9/6/2018 22:34:51.4,73.88,-161.8,73.74,79.29
9/6/2018 22:44:51.4,74.67,-164.8,73.24,79.29
9/6/2018 22:54:51.4,73.60,-167.9,73.35,79.25
9/6/2018 23:04:51.4,74.35,-170.7,73.69,79.00
9/6/2018 23:14:51.4,73.96,-173.4,73.56,78.87
9/6/2018 23:24:51.4,73.72,-176.3,73.35,79.27
9/6/2018 23:34:51.4,74.11,-179.3,73.40,79.02
9/6/2018 23:44:51.4,73.64,-182.1,73.92,79.25
9/6/2018 23:54:51.4,74.00,-184.8,73.45,78.98
9/7/2018 00:04:51.4,73.40,-187.8,73.35,79.30
9/7/2018 00:14:51.4,73.92,-190.8,73.31,78.94
9/7/2018 00:24:51.4,72.96,-193.7,73.18,79.02
9/7/2018 00:34:51.4,73.44,-196.8,72.95,79.03
9/7/2018 00:44:51.4,73.40,-199.8,72.91,78.69
9/7/2018 00:54:51.4,73.12,-202.9,72.54,78.67
9/7/2018 01:04:51.4,72.81,-205.7,72.97,78.35
9/7/2018 01:14:51.4,72.88,-208.5,72.81,78.46
9/7/2018 01:24:51.4,72.96,-211.2,73.40,78.69
9/7/2018 01:34:51.4,72.53,-214.1,72.70,78.75
9/7/2018 01:44:51.4,72.92,-217.2,72.63,78.73
9/7/2018 01:54:51.4,72.57,-220.1,72.82,78.28
9/7/2018 02:04:51.4,73.36,-222.9,72.73,78.49
9/7/2018 02:14:51.4,72.85,-225.8,73.13,78.37
9/7/2018 02:24:51.4,73.72,-228.4,73.04,78.46
9/7/2018 02:34:51.4,72.88,-231.3,73.11,78.85
9/7/2018 02:44:51.4,72.96,-234.1,73.49,78.80
9/7/2018 02:54:51.4,72.57,-236.9,72.70,78.71
9/7/2018 03:04:51.4,72.01,-240.1,72.77,78.94
9/7/2018 03:14:51.4,73.28,-242.9,72.84,78.35
9/7/2018 03:24:51.4,72.77,-245.7,72.81,78.53
9/7/2018 03:34:51.4,72.96,-248.6,73.20,78.49
9/7/2018 03:44:51.4,72.37,-251.2,73.29,78.49
9/7/2018 03:54:51.4,73.00,-254.0,73.17,78.89
9/7/2018 04:04:51.4,72.65,-256.8,73.13,78.75
9/7/2018 04:14:51.4,73.24,-259.9,72.54,78.93
9/7/2018 04:24:51.4,72.41,-263.0,72.82,78.62
9/7/2018 04:34:51.4,72.29,-265.8,72.84,78.39
9/7/2018 04:44:51.4,72.53,-268.7,72.86,78.44
9/7/2018 04:54:51.4,71.73,-271.4,73.04,78.48
9/7/2018 05:04:51.4,72.77,-274.2,72.84,78.53
9/7/2018 05:14:51.4,72.05,-277.0,73.09,78.35
9/7/2018 05:24:51.4,72.81,-279.7,72.95,78.82
9/7/2018 05:34:51.4,72.29,-282.6,72.90,78.67
9/7/2018 05:44:51.4,72.69,-285.4,73.20,78.62
9/7/2018 05:54:51.4,73.04,-288.2,72.90,78.46
9/7/2018 06:04:51.4,71.93,-291.0,73.35,78.62
9/7/2018 06:14:51.4,72.69,-293.8,72.43,78.53
9/7/2018 06:24:51.4,72.05,-297.0,72.32,78.58
9/7/2018 06:34:51.4,72.69,-300.0,72.41,78.30
9/7/2018 06:44:51.4,72.29,-302.8,72.41,77.83
9/7/2018 06:54:51.4,72.09,-305.6,72.27,78.10
9/7/2018 07:04:51.4,72.09,-308.5,72.09,77.86
9/7/2018 07:14:51.4,72.05,-311.4,72.30,77.90
9/7/2018 07:24:51.4,72.53,-314.2,72.14,77.70
9/7/2018 07:34:51.4,72.33,-317.1,72.09,77.95
9/7/2018 07:44:51.4,72.53,-320.0,71.98,77.90
9/7/2018 07:54:51.4,71.58,-322.8,72.25,77.70
9/7/2018 08:04:51.4,73.08,-325.5,72.46,77.63
9/7/2018 08:14:51.4,72.13,-328.1,72.39,77.85
9/7/2018 08:24:51.4,72.21,-330.8,72.91,78.01
9/7/2018 08:34:51.4,72.45,-333.4,72.25,78.04
9/7/2018 08:44:51.4,71.62,-336.4,72.36,78.49
9/7/2018 08:54:51.4,72.21,-339.5,72.00,77.97
9/7/2018 09:04:51.4,72.13,-342.3,72.84,77.79
9/7/2018 09:14:51.4,72.49,-344.6,73.09,77.83
9/7/2018 09:24:51.4,72.33,-347.1,73.13,78.64
9/7/2018 09:34:51.4,72.61,-350.0,72.79,78.80
9/7/2018 09:44:51.4,72.61,-353.0,72.68,78.62
9/7/2018 09:54:51.4,72.57,-356.0,72.54,78.57
9/7/2018 10:04:51.4,72.77,-358.8,72.72,78.30
9/7/2018 10:14:51.4,72.65,-361.7,72.63,78.49
9/7/2018 10:24:51.4,73.40,-364.8,72.75,78.53
9/7/2018 10:34:51.4,72.41,-367.4,73.78,78.67
9/7/2018 10:44:51.4,73.44,-369.9,73.65,79.05
9/7/2018 10:54:51.4,72.69,-372.8,73.49,79.48
9/7/2018 11:04:51.4,73.84,-375.8,73.98,79.59
9/7/2018 11:14:51.4,73.88,-378.6,74.17,79.47
9/7/2018 11:24:51.4,74.19,-381.5,73.99,80.02
9/7/2018 11:34:51.4,74.27,-384.7,73.42,80.01
9/7/2018 11:44:51.4,73.48,-388.0,74.05,79.95
9/7/2018 11:54:51.4,73.72,-391.0,73.85,79.61
9/7/2018 12:04:51.4,73.64,-394.2,73.74,80.15
9/7/2018 12:14:51.4,74.19,-397.5,73.62,80.17
9/7/2018 12:24:51.4,73.92,-400.7,74.12,80.19
9/7/2018 12:34:51.4,74.99,-404.0,73.69,80.53
9/7/2018 12:44:51.4,75.27,-407.7,73.49,80.82
9/7/2018 12:54:51.4,74.91,-411.5,73.69,80.67
9/7/2018 13:04:51.4,75.46,-415.0,73.92,80.53
9/7/2018 13:14:51.4,74.95,-418.5,73.80,80.94
9/7/2018 13:24:51.4,75.86,-422.3,73.81,81.18
9/7/2018 13:34:51.4,74.87,-426.1,73.89,81.10
9/7/2018 13:44:51.4,78.88,-429.9,74.03,81.28
